region,region_display,year_to,n_total_changes,n_gdp_expansions,n_absolute_decoupling,n_relative_decoupling,n_coupled_expansion,n_any_decoupling,share_gdp_expansion_of_all_changes,share_absolute_of_expansions,share_relative_of_expansions,share_coupled_of_expansions,share_any_decoupling_of_expansions,mean_gdp_change_pct_during_expansions,median_gdp_change_pct_during_expansions,mean_co2_change_pct_during_expansions,median_co2_change_pct_during_expansions,population_weighted_share_absolute,population_weighted_share_relative,population_weighted_share_coupled,population_weighted_share_any_decoupling
Global_South,Global South,1994,136,84,23,14,47,37,0.6176470588235294,0.27380952380952384,0.16666666666666666,0.5595238095238095,0.44047619047619047,4.252726560634615,3.0784021512167747,25.608719113570157,5.343524716540782,0.21094106214260405,0.3438691643805127,0.44518977347688327,0.5548102265231167
Global_South,Global South,1995,136,99,31,22,46,53,0.7279411764705882,0.31313131313131315,0.2222222222222222,0.46464646464646464,0.5353535353535354,4.7416627679555265,3.2518307546851144,6.688277949687515,2.104047986694524,0.08087470533212962,0.13471119142897361,0.7844141032388967,0.21558589676110324
Global_South,Global South,1996,136,104,34,25,45,59,0.7647058823529411,0.3269230769230769,0.2403846153846154,0.4326923076923077,0.5673076923076923,4.8273403120633445,4.006465479057974,4.9486354561284775,3.684605422110454,0.1982488625583867,0.3509973658855291,0.4507537715560842,0.5492462284439158
Global_South,Global South,1997,136,102,34,25,43,59,0.75,0.3333333333333333,0.24509803921568626,0.4215686274509804,0.5784313725490197,6.493490182684087,3.3651043866929076,5.518869455173544,2.5121384233251276,0.22385012501854643,0.165512775113156,0.6106370998682976,0.38936290013170244
Global_South,Global South,1998,136,101,32,25,44,57,0.7426470588235294,0.31683168316831684,0.24752475247524752,0.43564356435643564,0.5643564356435643,3.5230665544437754,2.6011187599826346,2.4410043664414407,1.7716505468490684,0.28736670904420664,0.23373044820889965,0.4789028427468937,0.5210971572531063
Global_South,Global South,1999,136,92,42,21,29,63,0.6764705882352942,0.45652173913043476,0.22826086956521738,0.31521739130434784,0.6847826086956522,3.7427879563882334,2.2565064546105185,1.2502151955874918,0.7462223955717939,0.3743423787630203,0.1776364530005689,0.4480211682364108,0.5519788317635892
Global_South,Global South,2000,136,100,38,23,39,61,0.7352941176470589,0.38,0.23,0.39,0.61,4.647936746762566,3.2657526884853016,8.261929121609095,1.6744155923667958,0.34629752977132544,0.29632776846095554,0.357374701767719,0.642625298232281
Global_South,Global South,2001,137,92,35,12,45,47,0.6715328467153284,0.3804347826086957,0.13043478260869565,0.4891304347826087,0.5108695652173914,3.842555623387375,2.4762352459523407,2.2726302893637795,2.052761303867523,0.3883577615811698,0.036387082804038025,0.5752551556147921,0.4247448443852078
Global_South,Global South,2002,137,97,40,17,40,57,0.708029197080292,0.41237113402061853,0.17525773195876287,0.41237113402061853,0.5876288659793815,3.771756500385589,2.705759738527269,0.7157302330072232,1.943513209539982,0.40999127777060507,0.2572100515109894,0.3327986707184056,0.6672013292815945
Global_South,Global South,2003,141,104,27,36,41,63,0.7375886524822695,0.25961538461538464,0.34615384615384615,0.3942307692307692,0.6057692307692307,4.4045834947425195,3.647310617068389,4.7617181886594615,3.0380705694233123,0.17477579302854795,0.3671108217415505,0.4581133852299015,0.5418866147700985
Global_South,Global South,2004,141,118,40,36,42,76,0.8368794326241135,0.3389830508474576,0.3050847457627119,0.3559322033898305,0.6440677966101694,5.210364299166453,3.8676304317450505,3.341647995164627,1.6049938988626944,0.24541119114204804,0.3540089046288056,0.40057990422914636,0.5994200957708536
Global_South,Global South,2005,141,114,34,37,43,71,0.8085106382978723,0.2982456140350877,0.32456140350877194,0.37719298245614036,0.6228070175438597,4.757850996138498,3.5312187890597646,3.644200544097396,2.824494271338085,0.3757405873879651,0.30723944818846,0.31701996442357483,0.6829800355764252
Global_South,Global South,2006,141,119,36,32,51,68,0.8439716312056738,0.3025210084033613,0.2689075630252101,0.42857142857142855,0.5714285714285714,4.93122828539248,4.1001177969151925,4.26250145120465,2.8328552586163847,0.2633925890578504,0.3296747393331593,0.4069326716089903,0.5930673283910097
