Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Czechia,CZE,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ_SC,..,..,..,..,..,..,62.1194764,..,62.9663166,..,62.6889083,..,71.7586911,73.4046376,71.0324582,73.2572963,73.2037444,72.5334638,73.3746435,73.0533308,72.2537245,71.0490592,69.4632255,69.8125373,67.6778439,70.4541455,69.7011264,72.8485894,72.9466892,72.550776,72.0527635,74.4255721,75.8062102,74.222575,74.2917232,..
Czechia,CZE,Rule of Law - Governance score (0-100),GOV_WGI_RL_SC,..,..,..,..,..,..,70.7022198,..,69.5623686,..,66.8482889,..,71.659066,71.7902546,68.6777678,71.6495795,69.970295,69.4605983,69.5792558,69.6784204,69.5811954,71.4916059,71.26544,71.7450163,73.436467,74.9931407,75.6319934,76.42709,74.8691789,76.1786363,76.3197503,77.0493137,76.5724051,76.9392272,77.4132754,..
Denmark,DNK,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,85.9359109,..,87.1943804,..,89.2010479,..,93.9672108,93.031936,92.1610733,91.4238747,93.3933109,94.1967981,93.0783683,93.4702392,88.674883,91.0587374,89.5815207,89.431129,86.5250025,86.2304917,87.0248227,86.8339582,88.6832634,89.1490916,90.227523,93.9328863,92.1406221,89.37227,88.5349172,..
Denmark,DNK,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ_SC,..,..,..,..,..,..,78.7777934,..,80.0862457,..,83.8096384,..,85.9830269,87.014052,85.8814069,86.5819908,88.9642607,88.8666088,86.9515703,86.8990783,85.4407408,86.2442852,83.6007853,83.6564411,81.0668511,82.691093,82.6034181,83.1152385,83.9270834,85.3573794,86.029193,86.3661936,86.7303352,86.2390996,85.3127667,..
Denmark,DNK,Rule of Law - Governance score (0-100),GOV_WGI_RL_SC,..,..,..,..,..,..,89.0483218,..,88.7847984,..,90.8597431,..,90.7890863,90.7831796,89.8694393,87.3465498,91.1267328,91.5714591,90.5838848,89.208075,88.6481368,89.585411,90.0551703,89.6258854,89.8467883,91.0728547,90.4809476,90.3096856,90.0924779,91.7336648,90.9532076,91.6166045,91.4261629,91.6330889,91.4603795,..
Djibouti,DJI,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,25.9462734,..,25.7687961,..,25.8301809,..,35.8741586,35.6242602,37.4144419,35.0068698,31.0590843,34.2829708,35.556768,37.0715194,37.1610864,37.2413182,36.3886921,37.3089426,37.9137352,36.7102806,37.479315,36.1890273,36.329487,38.6444045,38.2156211,38.7465615,40.4871979,40.9149061,41.7537153,..
Djibouti,DJI,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ_SC,..,..,..,..,..,..,40.437656,..,40.7899548,..,42.911427,..,45.0811186,45.0820555,43.5210113,44.4284373,44.0482909,44.2950663,43.9096207,43.6750886,42.8263023,42.9802976,43.9840476,42.9839755,43.5001646,43.3592423,43.5748581,44.1184706,43.1939767,42.6729378,41.7572492,42.7397803,42.7288318,42.4294035,41.412989,..
Djibouti,DJI,Rule of Law - Governance score (0-100),GOV_WGI_RL_SC,..,..,..,..,..,..,45.2663802,..,45.3007706,..,45.2597266,..,40.7180061,40.6818808,41.2300589,39.8600336,40.6662294,41.5577938,43.82671,43.9027659,43.5046393,42.0838372,42.0713801,41.1744408,39.3212284,39.7062078,39.7081509,39.578167,39.9847596,39.6288457,38.9839796,39.2186888,39.3829391,39.0741189,39.5750381,..
Dominica,DMA,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,66.1026449,..,65.9251677,..,65.9865524,..,65.9914368,65.7415403,58.7553175,58.7757493,58.7412167,61.1408382,61.1815695,61.3237987,64.7178574,63.2706778,63.2755427,63.2809773,53.6844921,53.6439727,52.2301999,42.418553,42.443663,42.4681391,43.8260959,43.8675777,50.9083643,58.8922909,54.238458,..
Dominica,DMA,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ_SC,..,..,..,..,..,..,66.0108016,..,66.4979572,..,69.4315124,..,69.6307985,69.6320933,61.2288785,60.4119441,62.6405721,63.9998698,61.9695139,62.2961116,64.0719909,62.3580602,63.087777,63.0767417,60.8237754,58.5372679,58.5491186,57.6105361,57.3751003,56.738468,57.2947229,57.2175833,57.1838056,57.2884884,55.8063108,..
Dominica,DMA,Rule of Law - Governance score (0-100),GOV_WGI_RL_SC,..,..,..,..,..,..,70.4573872,..,70.3026148,..,70.2008324,..,70.3287561,70.2743255,67.646573,71.170406,71.1543191,72.6057476,71.2740419,72.3180759,72.6241872,71.5923952,71.5670817,71.5104998,68.9481427,69.6026107,69.5378606,68.9960797,67.5302768,67.3354878,67.2646038,66.2048805,66.6737982,66.2508194,63.8053127,..
Dominican Republic,DOM,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,45.4496463,..,34.2708903,..,34.2991502,..,34.9267662,35.0427557,35.8335031,35.0773135,37.9807899,37.5637078,37.7601838,38.2950247,37.5182672,38.2440211,41.6009825,43.2203855,49.1620833,45.4478652,46.6104504,45.2306502,44.4024905,45.5172726,44.3335692,48.4209842,48.9863657,52.2308591,52.7919493,..
